Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
;;;;;;;
2024-12-31 00:00:00-05:00;252.44000244140625;253.27999877929688;249.42999267578125;250,4199982;39480700;0.0;0.0
;;;;;;;
2025-01-02 00:00:00-05:00;248.92999267578125;249.10000610351562;241.82000732421875;243,8500061;55740700;0.0;0.0
;;;;;;;
2025-01-03 00:00:00-05:00;243.36000061035156;244.17999267578125;241.88999938964844;243,3600006;40244100;0.0;0.0
;;;;;;;
2025-01-06 00:00:00-05:00;244.30999755859375;247.3300018310547;243.1999969482422;245;45045600;0.0;0.0
;;;;;;;
2025-01-07 00:00:00-05:00;242.97999572753906;245.5500030517578;241.36000061035156;242,2100067;40082828;0.0;0.0
;;;;;;;
;;;;244,9680023;;;
